"codice","descrizione"
"73734","Scoliosi toracogenica"
"73739","Altre cifoscoliosi e scoliosi"
"7374","Deviazioni della colonna vertebrale associate ad altre manifestazioni morbose"
"73740","Deviazioni della colonna non specificate associate ad altre manifestazioni morbose"
"73741","Cifosi associata ad altre manifestazioni morbose"
"73742","Lordosi associata ad altre manifestazioni morbose"
"73743","Scoliosi associata ad altre manifestazioni morbose"
"7378","Altre deviazioni della colonna vertebrale associate ad altre manifestazioni morbose"
"7379","Deviazioni non specificate della colonna vertebrale associate ad altre manifestazioni morbose"
"738","Altre deformazioni acquisite dell’apparato muscoloscheletrico"
"7380","Deformazioni acquisite del naso"
"7381","Altre deformazioni acquisite della testa"
"73810","Altre deformazioni acquisite della testa, non specificate"
"73811","Altre deformazioni acquisite della testa, iperplasia degli zigomi"
"73812","Altre deformazioni acquisite della testa, ipoplasia degli zigomi"
"73819","Altre deformazioni acquisite della testa, specificate"
"7382","Deformazioni acquisite del collo"
"7383","Deformazioni acquisite del torace e delle costole"
"7384","Spondilolistesi acquisita"
"7385","Altre deformazioni acquisite della schiena o della colonna vertebrale"
"7386","Deformazioni acquisite del bacino"
"7387","Orecchio a cavolfiore"
"7388","Deformazioni acquisite di altre sedi specificate"
"7389","Deformazioni acquisite di sedi non specificate"
"739","Lesioni non allopatiche, non classificate altrove"
"7390","Lesioni non allopatiche, non classificate altrove, regione cefalica"
"7391","Lesioni non allopatiche, non classificate altrove, regione cervicale"
"7392","Lesioni non allopatiche, non classificate altrove, regione toracica"
"7393","Lesioni non allopatiche, non classificate altrove, regione lombare"
"7394","Lesioni non allopatiche, non classificate altrove, regione sacrale"
"7395","Lesioni non allopatiche, non classificate altrove, regione pelvica"
"7396","Lesioni non allopatiche, non classificate altrove, estremita' inferiori"
"7397","Lesioni non allopatiche, non classificate altrove, estremita' superiori"
"7398","Lesioni non allopatiche, non classificate altrove, gabbia toracica"
"7399","Lesioni non allopatiche, non classificate altrove, addome e altre sedi"
"740","Anencefalia e anomalie simili"
"7400","Anencefalia"
"7401","Craniorachischisi"
"7402","Iniencefalia"
"741","Spina bifida"
"7410","Con idrocefalo"
"74100","Con idrocefalo, regione non specificata"
"74101","Con idrocefalo, regione cervicale"
"74102","Con idrocefalo, regione dorsale (toracica)"
"74103","Con idrocefalo, regione lombare"
"7419","Senza menzione di idrocefalo"
"74190","Senza menzione di idrocefalo, regione non specificata"
"74191","Senza menzione di idrocefalo, regione cervicale"
"74192","Senza menzione di idrocefalo, regione dorsale (toracica)"
"74193","Senza menzione di idrocefalo, regione lombare"
"742","Altre anomalie congenite del sistema nervoso"
"7420","Encefalocele"
"7421","Microcefalia"
"7422","Deformita' congenite con riduzione del cervello"
"7423","Idrocefalo congenito"
"7424","Altre anomalie cerebrali specificate"
"7425","Altre anomalie del midollo spinale specificate"
"74251","Diastematomielia"
"74253","Idromielia"
"74259","Altro"
"7428","Altre anomalie specificate del sistema nervoso"
"7429","Anomalie non specificate del cervello, del midollo spinale e del sistema nervoso"
"743","Anomalie congenite dell’occhio"
"7430","Anoftalmia"
"74300","Anoftalmia clinica, non specificata"
"74303","Cisti dell’occhio, congenita"
"74306","Criptoftalmo"
"7431","Microftalmia"
"74310","Microftalmia, non specificata"
"74311","Microftalmia semplice"
"74312","Microftalmia associata con altre anomalie dell’occhio e annessi"
"7432","Buftalmo"
"74320","Buftalmo, non specificato"
"74321","Buftalmo semplice"
"74322","Buftalmo associato ad altre anomalie oculari"
"7433","Cataratta congenita e anomalie del cristallino"
"74330","Cataratta congenita, non specificata"
"74331","Cataratta capsulare e sottocapsulare"
"74332","Cataratta corticale e zonulare"
"74333","Cataratta nucleare"
"74334","Cataratta congenita totale e subtotale"
"74335","Afachia congenita"
"74336","Anomalie della forma del cristallino"
"74337","Ectopia congenita del cristallino"
"74339","Altro"
"7434","Coloboma ed altre anomalie della segmento anteriore"
"74341","Anomalie della dimensione e della forma della cornea"
"74342","Opacita' corneali congenite che interferiscono con la visione"
"74343","Altre opacita' corneali, congenite"
"74344","Anomalie specificate della camera anteriore, dell’angolo della camera e delle relative strutture"
"74345","Aniridia"
"74346","Altre anomalie specifiche dell’iride e del corpo ciliare"
"74347","Anomalie specificate della sclera"
"74348","Anomalie multiple e combinate del segmento anteriore"
"74349","Altro"
"7435","Anomalie congenite del segmento posteriore"
"74351","Anomalie del corpo vitreo"
"74352","Coloboma del fondo"
"74353","Degenerazione corioretinica, congenita"
"74354","Pieghe congenite e cisti del segmento posteriore"
"74355","Alterazioni maculari congenite"
"74356","Altre alterazioni congenite della retina"
"74357","Anomalie specificate del disco ottico"
"74358","Anomalie vascolari"
"74359","Altro"
"7436","Anomalie congenite delle palpebre, del sistema lacrimale e dell’orbita"
"74361","Ptosi congenita"
"74362","Deformita' congenite delle palpebre"
"74363","Altre anomalie congenite specificate della palpebra"
"74364","Anomalie congenite specificate della ghiandola lacrimale"
"74365","Anomalie congenite specificate dell’apparato lacrimale"
"74366","Anomalie congenite specificate dell’orbita"
"74369","Altro"
"7438","Altre anomalie specificate dell’occhio"
"7439","Anomalie non specificate dell’occhio"
"744","Anomalie congenite dell’orecchio, della faccia e del collo"
"7440","Anomalie dell’orecchio che causano deficit dell’udito"
"74400","Anomalie non specificate dell’orecchio con deficit dell’udito"
"74401","Assenza dell’orecchio esterno"
"74402","Altre anomalie dell’orecchio esterno con deficit dell’udito"
"74403","Anomalie dell’orecchio medio, ad eccezione della catena degli ossicini"
"74404","Anomalie della catena degli ossicini dell’orecchio"
"74405","Anomalie dell’orecchio interno"
"74409","Altro"
"7441","Padiglioni auricolari accessori"
"7442","Altre anomalie specificate dell’orecchio"
"74421","Assenza del lobo dell’orecchio, congenita"
"74422","Macrotia"
"74423","Microtia"
"74424","Anomalie specificate della tuba di Eustachio"
"74429","Altro"
"7443","Anomalie non specificate dell’orecchio"
"7444","Cisti o fistola branchiale: seno preauricolare"
"74441","Cisti o fistola branchiale"
"74442","Cisti branchiale"
"74443","Padiglione auricolare cervicale"
"74446","Seno o fistola preauricolare"
"74447","Cisti preauricolare"
"74449","Altro"
"7445","Pterigio del collo"
"7448","Altre anomalie specificate della faccia e del collo"
"74481","Macrocheilia"
"74482","Microcheilia"
"74483","Macrostomia"
"74484","Microstomia"
"74489","Altro"
"7449","Anomalie non specificate della faccia e del collo"
"745","Anomalie del bulbo cardiaco e anomalie della chiusura del setto cardiaco"
"7450","Tronco comune"
"7451","Trasposizione dei grossi vasi"
"74510","Trasposizione completa dei grossi vasi"
"74511","Doppio sbocco del ventricolo destro"
"74512","Trasposizione corretta dei grossi vasi"
"74519","Altro"
"7452","Tetralogia di Fallot"
"7453","Ventricolo unico"
"7454","Difetto del setto interventricolare"
"7455","Difetto del setto atriale tipo ostium secundum"
"7456","Difetti dei cuscinetti endocardici"
"74560","Difetto dei cuscinetti endocardici, di tipo non specificato"
"74561","Difetto dell’ostium primum"
"74569","Altro"
"7457","Cuore biloculare"
"7458","Altro"
"7459","Difetto non specificato di chiusura del setto"
"746","Altre anomalie congenite del cuore"
"7460","Anomalie della valvola polmonare"
"74600","Anomalia della valvola polmonare, non specificata"
"74601","Atresia, congenita"
"74602","Stenosi, congenita"
"74609","Altro"
"7461","Atresia e stenosi della tricuspide, congenita"
"7462","Anomalia di Ebstein"
"7463","Stenosi congenita della valvola aortica"
"7464","Insufficienza congenita della valvola aortica"
"7465","Stenosi mitralica congenita"
"7466","Insufficienza mitralica congenita"
"7467","Sindrome del cuore sinistro ipoplasico"
"7468","Altre anomalie specificate del cuore"
"74681","Stenosi subaortica"
"74682","Cuore triatriato"
"74683","Stenosi polmonare infundibolare"
"74684","Anomalie ostruttive del cuore, non classificate altrove"
"74685","Anomalie dell’arteria coronaria"
"74686","Blocco cardiaco congenito"
"74687","Malposizione del cuore e dell’apice cardiaco"
"74689","Altro"
"7469","Anomalia del cuore non specificata"
"747","Altre anomalie congenite del sistema circolatorio"
"7470","Dotto arterioso pervio"
"7471","Coartazione dell’aorta"
"74710","Coartazione aortica (preduttale) (postduttale)"
"74711","Interruzione dell’arco aortico"
"7472","Altre anomalie dell’aorta"
"74720","Anomalie dell’aorta, non specificate"
"74721","Anomalie dell’arco aortico"
"74722","Atresia e stenosi dell’aorta"
"74729","Altro"
"7473","Anomalie dell’arteria polmonare"
"7474","Anomalie dei grandi vasi venosi"
"74740","Anomalie dei grandi vasi venosi, non specificate"
"74741","Connessione totalmente anomala delle vene polmonari"
"74742","Connessione venosa polmonare parzialmente anomala"
"74749","Altre anomalie dei grossi vasi venosi"
"7475","Assenza o ipoplasia dell’arteria ombelicale"
"7476","Altre anomalie del sistema vascolare periferico"
"74760","Anomalia del sistema vascolare periferico, di sito non specificato"
"74761","Anomalie dei vasi gastrointestinali"
"74762","Anomalie dei vasi renali"
"74763","Anomalie vascolari degli arti superiori"
"74764","Anomalie vascolari degli arti inferiori"
"74769","Anomalie di altre sedi specificate del sistema vascolare periferico"
"7478","Altre anomalie specificate del sistema circolatorio"
"74781","Anomalie del sistema cerebrovascolare"
"74782","Anomalie dei vasi spinali"
"74783","Circolazione fetale persistente"
"74789","Altro"
"7479","Anomalie non specificate del sistema circolatorio"
"748","Anomalie congenite dell’apparato respiratorio"
"7480","Atresia delle coane"
"7481","Altre anomalie del naso"
"7482","Membrana laringea"
"7483","Altre anomalie della laringe, trachea e bronchi"
"7484","Cisti congenita polmonare"
"7485","Agenesia, ipoplasia e displasia del polmone"
"7486","Altre anomalie del polmone"
"74860","Anomalie del polmone, non specificate"
"74861","Bronchiectasie congenite"
"74869","Altro"
"7488","Altre anomalie specificate dell’apparato respiratorio"
"7489","Anomalie non specificate dell’apparato respiratorio"
"749","Palatoschisi e labioschisi"
"7490","Palatoschisi"
"74900","Palatoschisi, non specificata"
"74901","Unilaterale, completa"
"74902","Unilaterale, incompleta"
"74903","Bilaterale, completa"
"74904","Bilaterale, incompleta"
"7491","Labioschisi"
"74910","Labioschisi, non specificata"
"74911","Unilaterale, completa"
"74912","Unilaterale, incompleta"
"74913","Bilaterale, completa"
"74914","Bilaterale, incompleta"
"7492","Palatoschisi con labioschisi"
"74920","Palatoschisi con labioschisi, non specificata"
"74921","Unilaterale, completa"
"74922","Unilaterale, incompleta"
"74923","Bilaterale, completa"
"74924","Bilaterale, incompleta"
"74925","Altre combinazioni"
"750","Altre anomalie congenite del tratto alimentare superiore"
"7500","Lingua legata"
"7501","Altre anomalie della lingua"
"75010","Anomalie della lingua, non specificate"
"75011","Aglossia"
"75012","Aderenze congenite della lingua"
"75013","Fessura della lingua"
"75015","Macroglossia"
"75016","Microglossia"
"75019","Altro"
"7502","Altre anomalie specificate della bocca e del faringe"
"75021","Assenza di ghiandole salivari"
"75022","Ghiandole salivari accessorie"
"75023","Atresia del dotto salivare"
"75024","Fistola congenita della ghiandola salivare"
"75025","Fistola congenita del labbro"
"75026","Altre anomalie specificate della bocca"
"75027","Diverticolo del faringe"
"75029","Altre anomalie specificate del faringe"
"7503","Fistola tracheoesofagea, atresia esofagea e stenosi"
"7504","Altre anomalie specificate dell’esofago"
"7505","Stenosi ipertrofica congenita del piloro"
"7506","Ernia iatale congenita"
"7507","Altre anomalie specificate dello stomaco"
"7508","Altre anomalie specificate del tratto alimentare superiore"
"7509","Anomalie non specificate del tratto alimentare superiore"
"751","Altre anomalie congenite del sistema digestivo"
"7510","Diverticolo di Meckel"
"7511","Atresia e stenosi dell’intestino tenue"
"7512","Atresia e stenosi dell’intestino crasso, del retto e del canale anale"
"7513","Malattia di Hirschsprung ed altri disturbi funzionali congeniti del colon"
"7514","Anomalie di fissazione intestinale"
"7515","Altre anomalie dell'intestino"
"7516","Anomalie della colecisti, dei dotti biliari e del fegato"
"75160","Anomalie non specificate della colecisti, dei dotti biliari e del fegato"
"75161","Atresia biliare"
"75162","Malattia congenita cistica del fegato"
"75169","Altre anomalie della colecisti, dei dotti biliari e del fegato"
"7517","Anomalie del pancreas"
"7518","Altre anomalie specificate del sistema digestivo"
"7519","Anomalie non specificate del sistema digestivo"
"752","Anomalie congenite degli organi genitali"
"7520","Anomalie ovariche"
"7521","Anomalie delle tube di Falloppio e dei legamenti larghi"
"75210","Anomalie non specificate delle tube di Falloppio e dei legamenti larghi"
"75211","Cisti embrionale delle tube di Falloppio e dei legamenti larghi"
"75219","Altro"
"7522","Duplicazione dell’utero"
"7523","Altre anomalie dell’utero"
"7524","Anomalie della cervice, della vagina e dei genitali esterni femminili"
"75240","Anomalie non specificate della cervice, della vagina e dei genitali esterni femminili"
"75241","Cisti embrionale della cervice, della vagina e dei genitali esterni femminili"
"75242","Imene imperforato"
"75249","Altre anomalie della cervice, della vagina e dei genitali esterni femminili"
"7525","Testicolo non disceso e retrattile"
"75251","Testicolo non disceso"
"75252","Testicolo retrattile"
"7526","Ipospadia ed epispadia e altre anomalie del pene"
"75261","Ipospadia"
"75262","Epispadia"
"75263","Curvatura anomale, congenita del pene"
"75264","Micropene"
"75265","Pene nascosto"
"75269","Altre anomalie del pene"
"7527","Sesso indeterminato e pseudoermafroditismo"
"7528","Altre anomalie specificate degli organi genitali"
"75281","Trasposizione dello scroto"
"75289","Altre anomalie specificate degli organi genitali"
"7529","Anomalie non specificate degli organi genitali"
"753","Anomalie congenite del sistema urinario"
"7530","Agenesia e disgenesia del rene"
"7531","Malattia cistica del rene"
"75310","Malattia cistica del rene, non specificata"
"75311","Cisti renale congenita, singola"
"75312","Rene policistico, tipo non specificato"
"75313","Rene policistico, autosomico dominante"
"75314","Rene policistico, autosomico recessivo"
"75315","Displasia renale"
"75316","Rene midollare cistico"
"75317","Rene con midollare a spugna"
"75319","Altre malattie cistiche del rene specificate"
"7532","Difetti ostruttivi della pelvi renale e dell’uretere"
"75320","Difetto ostruttivo non specificato della pelvi del rene e dell’uretere"
"75321","Ostruzione congenita della giunzione ureteropelvica"
"75322","Ostruzione congenita della giunzione uretero-vescicale"
"75323","Ureterocele congenito"
"75329","Altro"
"7533","Altre anomalie specificate del rene"
"7534","Altre anomalie specificate dell’uretere"
"7535","Estrofia della vescica urinaria"
"7536","Atresia e stenosi dell’uretra e del collo vescicale"
"7537","Anomalie dell’uraco"
"7538","Altre anomalie specificate della vescica e dell’uretra"
"7539","Anomalie non specificate del sistema urinario"
"754","Alcune malformazioni congenite del sistema muscoloscheletrico"
"7540","Malformazioni congenite del cranio, della faccia e della mascella"
"7541","Malformazione congenita del muscolo sternocleidomastoideo"
"7542","Della colonna"
"7543","Lussazione congenita dell’anca"
"75430","Lussazione congenita dell’anca, unilaterale"
"75431","Lussazione congenita dell’anca, bilaterale"
"75432","Sublussazione congenita dell’anca, unilaterale"
"75433","Sublussazione congenita dell’anca, bilaterale"
"75435","Lussazione congenita di un’anca con sublussazione dell’altra"
"7544","Genu recurvatum congenito e incurvatura delle ossa lunghe della gamba"
"75440","Genu recurvatum"
"75441","Lussazione congenita del ginocchio (con genu recurvatum)"
"75442","Curvatura congenita del femore"
"75443","Curvatura congenita di tibia e fibula"
"75444","Curvatura congenita non specificata di ossa lunghe della gamba"
"7545","Malformazioni del piede in varismo"
"75450","Piede talo varo"
"75451","Piede talo equino"
"75452","Metatarso varo primitivo"
"75453","Metatarso varo"
"75459","Altro"
"7546","Malformazioni del piede in valgismo"
"75460","Piede talo valgo"
"75461","Piede piatto congenito"
"75462","Piede talo calcaneo valgo"
"75469","Altro"
"7547","Altre malformazioni del piede"
"75470","Piede torto non specificato"
"75471","Piede talo cavo"
"75479","Altro"
"7548","Altre anomalie specificate non teratogeniche"
"75481","Pectus excavatum"
"75482","Petto carenato"
"75489","Altro"
"755","Altre anomalie congenite degli arti"
"7550","Polidattilia"
"75500","Polidattilia, dita non specificate"
"75501","Di dita della mano"
"75502","Di dita del piede"
"7551","Sindattilia"
"75510","Di siti multipli e non specificati"
"75511","Di dita della mano senza fusione dell’osso"
"75512","Di dita della mano con fusione dell’osso"
"75513","Di dita del piede senza fusione dell’osso"
"75514","Di dita del piede con fusione dell’osso"
"7552","Difetto in riduzione dell’arto superiore"
"75520","Difetto in riduzione non specificata dell’arto superiore"
"75521","Difetto in riduzione trasverso dell’arto superiore"
"75522","Difetto longitudinale dell’arto superiore, non classificato altrove"
"75523","Difetto longitudinale, combinata, comprendente l’omero, il radio e l’ulna (completo o incompleto)"
"75524","Difetto longitudinale, dell’omero completo o parziale (con o senza difetto distale, incompleto)"
"75525","Difetto longitudinale, radioulnare, completo o parziale (con o senza difetto distale, incompleto)"
"75526","Difetto longitudinale, del radio, completo o parziale (con o senza difetto distale, incompleto)"
"75527","Difetto longitudinale, ulnare, completo o parziale (con o senza difetto distale, incompleto)"
"75528","Difetto longitudinale, carpale o metacarpale, completo o parziale (con o senza difetto incompleto delle falangi)"
"75529","Difetto longitudinale delle falangi, completo o parziale"
"7553","Difetto in riduzione di malformazioni dell’arto inferiore"
"75530","Difetto in riduzione di malformazioni dell’arto inferiore, non specificato"
"75531","Mancanza trasversa dell’arto inferiore"
"75532","Difetto longitudinale dell’arto inferiore, non classificato altrove"
"75533","Difetto longitudinale combinato comprendente il femore, la tibia e il perone (completo o incompleto)"
"75534","Difetto longitudinale, del femore completo o parziale (con o senza difetti distali, incompleto)"
"75535","Difetto longitudinale, tibio-peroneale, completo o parziale (con o senza difetti distali, incompleto)"
"75536","Difetto longitudinale, della tibia, completo o parziale (con o senza mancanze distali, incompleto)"
"75537","Difetto longitudinale, di perone, completo o parziale (con o senza difetti distali, incompleto)"
"75538","Difetto longitudinale, del tarso o metatarso, completo o parziale (con o senza difetto incompleto delle falangi)"
"75539","Difetto longitudinale, delle falangi, completo o parziale"
"7554","Difetto in riduzione, arto non specificato"
"7555","Altre anomalie dell’arto superiore, comprendenti il cingolo scapolare"
"75550","Anomalie dell’arto superiore, non specificate"
"75551","Malformazione congenita della clavicola"
"75552","Elevazione congenita della scapola"
"75553","Sinostosi radioulnare"
"75554","Deformita' di Madelung"
"75555","Acrocefalosindattilia"
"75556","Ossa carpali accessorie"
"75557","Macrodattilia (dita)"
"75558","Ectrodattilia, congenita"
"75559","Altro"
"7556","Altre anomalie dell’arto inferiore, comprendenti il cingolo pelvico"
"75560","Anomalie non specificate dell’arto inferiore"
"75561","Coxa valga, congenita"
"75562","Coxa vara, congenita"
"75563","Altre malformazioni congenite dell’anca (articolazione)"
"75564","Malformazione congenita del ginocchio (articolazione)"
"75565","Macrodattilia delle dita del piede"
"75566","Altre anomalie delle dita del piede"
"75567","Anomalie del piede, non classificate altrove"
"75569","Altro"
"7558","Altre anomalie specificate di arto non specificato"
"7559","Anomalie non specificate di arto non specificato"
"756","Altre anomalie muscoloscheletriche congenite"
"7560","Anomalie del cranio e delle ossa della faccia"
"7561","Anomalie della colonna"
"75610","Anomalie della colonna, non specificate"
"75611","Spondilolisi, regione lombo-sacrale"
"75612","Spondilolistesi"
"75613","Assenza di vertebra, congenita"
"75614","Emivertebra"
"75615","Fusione della colonna [vertebrale], congenita"
"75616","Sindrome di Klippel-Feil"
"75617","Spina bifida occulta"
"75619","Altro"
"7562","Costola cervicale"
"7563","Altre anomalie delle costole e dello sterno"
"7564","Condrodistrofia"
"7565","Osteodistrofie"
"75650","Osteodistrofia, non specificata"
"75651","Osteogenesi imperfetta"
"75652","Osteopetrosi"
"75653","Osteopoichilosi"
"75654","Displasia fibrosa poliostotica dell’osso"
"75655","Displasia condroectodermica"
"75656","Displasia multipla epifisaria"
"75659","Altro"
"7566","Anomalie del diaframma"
"7567","Anomalie della parete addominale"
"75670","Anomalia della parete addominale, non specificata"
"75671","Sindrome di Prune belly"
"75679","Altre anomalie congenite della parete addominale"
"7568","Altre anomalie specificate di muscoli, tendini, fascia e tessuto connettivo"
"75681","Assenza di muscoli e tendini"
"75682","Muscolo accessorio"
"75683","Sindrome di Ehlers-Danlos"
"75689","Altro"
"7569","Altre e non specificate anomalie del sistema muscoloscheletrico"
"757","Anomalie congenite del tegumento"
"7570","Edema ereditario delle gambe"
"7571","Ittiosi congenita"
"7572","Anomalie dermatoglifiche"
"7573","Altre anomalie specificate della cute"
"75731","Displasia ectodermica congenita"
"75732","Amartomi vascolari"
"75733","Anomalie cutanee del pigmento, congenite"
"75739","Altro"
"7574","Anomalie specificate dei capelli"
"7575","Anomalie specificate delle unghie"
"7576","Anomalie specificate della mammella"
"7578","Altre anomalie specificate del tegumento"
"7579","Anomalie non specificate del tegumento"
"758","Anomalie cromosomiche"
"7580","Sindrome di Down"
"7581","Sindrome di Patau"
"7582","Sindrome di Edward"
"7583","Sindromi da delezione autosomica"
"75831","Sindrome del Cri-du-chat"
"75832","Sindrome Velo-cardio-facciale"
"75833","Altre microdelezioni"
"75839","Altre delezioni autosomiche"
"7584","Traslocazione autosomica bilanciata in individui normali"
"7585","Altre manifestazioni dovute ad anomalie autosomiche"
"7586","Disgenesia gonadica"
"7587","Sindrome di Klinefelter"
"7588","Altre manifestazioni dovute ad anomalie cromosomiche"
"75881","Altre manifestazioni dovute ad anomalie dei cromosomi sessuali"
"75889","Altro"
"7589","Manifestazioni dovute ad anomalie di cromosomi non specificati"
"759","Altre anomalie congenite non specificate"
"7590","Anomalie della milza"
"7591","Anomalie della ghiandola surrene"
"7592","Anomalie di altre ghiandole endocrine"
"7593","Situs inversus"
"7594","Gemelli congiunti"
"7595","Sclerosi tuberosa"
"7596","Altri amartomi, non classificati altrove"
"7597","Anomalie congenite multiple, cos|' descritte"
"7598","Altre anomalie specificate"
"75981","Sindrome di Prader-Willi"
"75982","Sindrome di Marfan"
"75983","Sindrome della X fragile"
"75989","Altro"
"7599","Anomalie congenite, non specificate"
"760","Manifestazioni morbose del feto o del neonato derivanti da patologia materna anche non correlata alla gravidanza attuale"
"7600","Disturbi ipertensivi della madre che hanno ripercussioni sul feto o sul neonato"
"7601","Malattie renali e dell’apparato urinario della madre che hanno ripercussioni sul feto o sul neonato"
"7602","Malattie infettive o parassitarie della madre che hanno ripercussioni sul feto o sul neonato"
"7603","Altre malattie croniche degli apparati circolatorio e respiratorio della madre che hanno ripercussioni sul feto o sul neonato"
"7604","Disturbi nutritivi della madre che hanno ripercussioni sul feto o sul neonato"
"7605","Traumi della madre che hanno ripercussioni sul feto o sul neonato"
"7606","Interventi chirurgici della madre che hanno ripercussioni sul feto o sul neonato"
"7607","Malattie del feto dovute a sostanze nocive passate attraverso la placenta o il latte materno"
"76070","Sostanze nocive non specificate che coinvolgono il feto o il neonato attraverso la placenta o il latte materno"
"76071","Danni da alcool al feto o al neonato attraverso la placenta o il latte materno"
"76072","Danni da droghe al feto o al neonato attraverso la placenta o il latte materno"
"76073","Danni da sostanze allucinogene al feto o al neonato attraverso la placenta o il latte materno"
"76074","Danni da agenti anti infettivi al feto o al neonato attraverso la placenta o il latte materno"
"76075","Danni da cocaina al feto o al neonato attraverso la placenta o il latte materno"
"76076","Esposizione nociva del feto o del neonato al dietilstilbestrolo, attraverso la placenta o il latte materno"
"76077","Danni da agenti anticonvulsivanti al feto o al neonato attraverso la placenta o il latte materno"
"76078","Danni da agenti antimetabolici al feto o al neonato attraverso la placenta o il latte materno"
"76079","Altre sostanze che interessano il feto o il neonato attraverso la placenta o il latte materno"
"7608","Altre manifestazioni materne specificate che hanno ripercussioni sul feto o sul neonato"
"7609","Manifestazioni materne non specificate che hanno ripercussioni sul feto o sul neonato"
"761","Feto o neonato affetto da complicazioni materne della gravidanza"
"7610","Incontinenza della cervice uterina che ha ripercussioni sul feto o sul neonato"
"7611","Rottura prematura delle membrane che ha ripercussioni sul feto o sul neonato"
"7612","Oligoidramnios che ha ripercussioni sul feto o sul neonato"
"7613","Polidramnios che ha ripercussioni sul feto o sul neonato"
"7614","Gravidanza ectopica che ha ripercussioni sul feto o sul neonato"
"7615","Gravidanza multipla che ha ripercussioni sul feto o sul neonato"
"7616","Morte materna con ripercussioni sul feto o sul neonato"
"7617","Presentazione anomala prima del travaglio con ripercussioni sul feto o sul neonato"
"7618","Feto o neonato affetti da altre complicazioni materne della gravidanza specificate"
"7619","Feto o neonato affetti da altra complicazione materna della gravidanza non specificata"
"762","Feto o neonato affetto da complicazioni della placenta, del cordone ombelicale e delle membrane"
"7620","Placenta previa con ripercussioni sul feto o sul neonato"
"7621","Altre forme di distacco della placenta e di emorragia con ripercussioni sul feto o sul neonato"
"7622","Altre e non specificate anomalie morfologiche e funzionali della placenta con ripercussioni sul feto o sul neonato"
"7623","Sindromi di trasfusione placentare con ripercussioni sul feto o sul neonato"
"7624","Prolasso del cordone ombelicale con ripercussioni sul feto o sul neonato"
"7625","Altre compressioni del cordone ombelicale con ripercussioni sul feto o sul neonato"
"7626","Altre e non specificate manifestazioni morbose del cordone ombelicale con ripercussioni sul feto o sul neonato"
"7627","Corioamnionite con ripercussioni sul feto o sul neonato"
"7628","Altre anomalie specificate del corion e dell’amnios con ripercussioni sul feto o sul neonato"
"7629","Anomalia non specificata del corion e dell’amnios con ripercussioni sul feto o sul neonato"
"763","Feto o neonato affetto da altre complicazioni del travaglio e del parto"
"7630","Parto ed estrazione podalica con ripercussioni sul feto o sul neonato"
"7631","Altra presentazione anomala, malposizione e sproporzione fetopelvica durante il travaglio e il parto con ripercussioni sul feto o sul neonato"
"7632","Applicazione di forcipe con ripercussioni sul feto o sul neonato"
"7633","Applicazione di ventosa con ripercussioni sul feto o sul neonato"
"7634","Parto cesareo con ripercussioni sul feto o sul neonato"
"7635","Anestesia e analgesia della madre con ripercussioni sul feto o sul neonato"
"7636","Parto precipitoso con ripercussioni sul feto o sul neonato"
"7637","Contrazioni uterine anomale con ripercussioni sul feto o sul neonato"
"7638","Altre complicazioni specificate del travaglio e del parto con ripercussioni sul feto o sul neonato"
"76381","Anomalia del battito o della frequenza cardiaca del feto prima dell’inizio del travaglio"
"76382","Anomalia del battito o della frequenza cardiaca del feto durante il travaglio"
"76383","Anomalia del battito o della frequenza cardiaca del feto, non specificata rispetto al momento dell’insorgenza"
"76384","Passaggio di meconio durante il parto"
"76389","Altre complicazioni specificate del travaglio e del parto con ripercussioni sul feto o sul neonato"
"7639","Altra e non specificata complicazione del travaglio e del parto con ripercussioni sul feto o sul neonato"
"764","Ritardo di crescita fetale e malnutrizione fetale"
"7640","Neonato di basso peso per l’eta' gestazionale senza menzione di malnutrizione fetale"
"76400","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso non specificato"
"76401","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso < 500 grammi"
"76402","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 500-749 grammi"
"76403","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 750-999 grammi"
"76404","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 1000- 1249 grammi"
"76405","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 1250- 1499 grammi"
"76406","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 1500- 1749 grammi"
"76407","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 1750- 1999 grammi"
"76408","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 2000- 2499 grammi"
"76409","Neonato di basso peso per l’eta' gestazionale, senza menzione di malnutrizione fetale, di peso 2500 grammi ed oltre"
"7641","Neonato di basso peso per l’eta' gestazionale, con segni di malnutrizione fetale"
"76410","Neonato di basso peso per l’eta' gestazionale, con segni di malnutrizione fetale, di peso non specificato"
"76411","Neonato di basso peso per l’eta' gestazionale, con segni di malnutrizione fetale, di peso < 500 grammi"
"76412","Neonato di basso peso per l’eta' gestazionale, con segni di malnutrizione fetale, di peso 500-749 grammi"
